X,Y,RETICLE_SHOT,COL|ROW
-19.652,-31.185,S-2_0,C8R1
-24.834,-31.185,S-2_0,C8R2
-28.721,-31.185,S-2_0,C8R3
-31.311,-31.185,S-2_0,C8R4
-33.902,-31.185,S-2_0,C8R5
-38.228,-58.185,S-2_1,C0R0
-43.41,-58.185,S-2_1,C0R1
-48.592,-58.185,S-2_1,C0R2
-52.478,-58.185,S-2_1,C0R3
-55.069,-58.185,S-2_1,C0R4
-57.66,-58.185,S-2_1,C0R5
-38.228,-54.185,S-2_1,C1R0
-43.41,-54.185,S-2_1,C1R1
-48.592,-54.185,S-2_1,C1R2
-52.478,-54.185,S-2_1,C1R3
-55.069,-54.185,S-2_1,C1R4
-57.66,-54.185,S-2_1,C1R5
-38.228,-50.185,S-2_1,C2R0
-43.41,-50.185,S-2_1,C2R1
-48.592,-50.185,S-2_1,C2R2
-52.478,-50.185,S-2_1,C2R3
-55.069,-50.185,S-2_1,C2R4
-57.66,-50.185,S-2_1,C2R5
-38.228,-46.185,S-2_1,C3R0
-43.41,-46.185,S-2_1,C3R1
-48.592,-46.185,S-2_1,C3R2
-52.478,-46.185,S-2_1,C3R3
-55.069,-46.185,S-2_1,C3R4
-57.66,-46.185,S-2_1,C3R5
-38.228,-42.185,S-2_1,C4R0
-43.41,-42.185,S-2_1,C4R1
-48.592,-42.185,S-2_1,C4R2
-52.478,-42.185,S-2_1,C4R3
-55.069,-42.185,S-2_1,C4R4
-57.66,-42.185,S-2_1,C4R5
-38.228,-38.185,S-2_1,C5R0
-43.41,-38.185,S-2_1,C5R1
-48.592,-38.185,S-2_1,C5R2
-52.478,-38.185,S-2_1,C5R3
-55.069,-38.185,S-2_1,C5R4
-57.66,-38.185,S-2_1,C5R5
-38.228,-35.185,S-2_1,C6R0
-43.41,-35.185,S-2_1,C6R1
-48.592,-35.185,S-2_1,C6R2
-52.478,-35.185,S-2_1,C6R3
-55.069,-35.185,S-2_1,C6R4
-57.66,-35.185,S-2_1,C6R5
-38.228,-33.185,S-2_1,C7R0
-43.41,-33.185,S-2_1,C7R1
-48.592,-33.185,S-2_1,C7R2
-52.478,-33.185,S-2_1,C7R3
-55.069,-33.185,S-2_1,C7R4
-57.66,-33.185,S-2_1,C7R5
-38.228,-31.185,S-2_1,C8R0
-43.41,-31.185,S-2_1,C8R1
-48.592,-31.185,S-2_1,C8R2
-52.478,-31.185,S-2_1,C8R3
-55.069,-31.185,S-2_1,C8R4
-57.66,-31.185,S-2_1,C8R5
-61.986,-58.185,S-2_2,C0R0
-67.168,-58.185,S-2_2,C0R1
-72.35,-58.185,S-2_2,C0R2
-61.986,-54.185,S-2_2,C1R0
-67.168,-54.185,S-2_2,C1R1
-72.35,-54.185,S-2_2,C1R2
-76.237,-54.185,S-2_2,C1R3
-61.986,-50.185,S-2_2,C2R0
-67.168,-50.185,S-2_2,C2R1
-72.35,-50.185,S-2_2,C2R2
-76.237,-50.185,S-2_2,C2R3
-78.828,-50.185,S-2_2,C2R4
-61.986,-46.185,S-2_2,C3R0
-67.168,-46.185,S-2_2,C3R1
-72.35,-46.185,S-2_2,C3R2
-76.237,-46.185,S-2_2,C3R3
-78.828,-46.185,S-2_2,C3R4
-81.419,-46.185,S-2_2,C3R5
-61.986,-42.185,S-2_2,C4R0
-67.168,-42.185,S-2_2,C4R1
-72.35,-42.185,S-2_2,C4R2
-76.237,-42.185,S-2_2,C4R3
-78.828,-42.185,S-2_2,C4R4
-81.419,-42.185,S-2_2,C4R5
-61.986,-38.185,S-2_2,C5R0
-67.168,-38.185,S-2_2,C5R1
-72.35,-38.185,S-2_2,C5R2
-76.237,-38.185,S-2_2,C5R3
-78.828,-38.185,S-2_2,C5R4
-81.419,-38.185,S-2_2,C5R5
-61.986,-35.185,S-2_2,C6R0
-67.168,-35.185,S-2_2,C6R1
-72.35,-35.185,S-2_2,C6R2
-76.237,-35.185,S-2_2,C6R3
-78.828,-35.185,S-2_2,C6R4
-81.419,-35.185,S-2_2,C6R5
-61.986,-33.185,S-2_2,C7R0
-67.168,-33.185,S-2_2,C7R1
-72.35,-33.185,S-2_2,C7R2
-76.237,-33.185,S-2_2,C7R3
-78.828,-33.185,S-2_2,C7R4
-81.419,-33.185,S-2_2,C7R5
-61.986,-31.185,S-2_2,C8R0
-67.168,-31.185,S-2_2,C8R1
-72.35,-31.185,S-2_2,C8R2
-76.237,-31.185,S-2_2,C8R3
-78.828,-31.185,S-2_2,C8R4
-81.419,-31.185,S-2_2,C8R5
80.562,-28.061,S-1_-4,C0R0
75.38,-28.061,S-1_-4,C0R1
70.198,-28.061,S-1_-4,C0R2
66.311,-28.061,S-1_-4,C0R3
63.721,-28.061,S-1_-4,C0R4
61.13,-28.061,S-1_-4,C0R5
80.562,-24.061,S-1_-4,C1R0
75.38,-24.061,S-1_-4,C1R1
70.198,-24.061,S-1_-4,C1R2
66.311,-24.061,S-1_-4,C1R3
63.721,-24.061,S-1_-4,C1R4
61.13,-24.061,S-1_-4,C1R5
80.562,-20.061,S-1_-4,C2R0
75.38,-20.061,S-1_-4,C2R1
70.198,-20.061,S-1_-4,C2R2
